,Date,Open,Close,High,Low,Volume
397,2022-06-14 15:17:00,22399.0,22397.88373013,22407.02002035,22357.26634589,4.10133279
396,2022-06-14 15:18:00,22399.60833075,22449.26665111,22449.26665111,22399.60833075,1.15701466
395,2022-06-14 15:19:00,22437.0,22465.0,22477.0,22430.0,1.77726898
394,2022-06-14 15:20:00,22468.70378471,22400.34949971,22479.0,22400.34949971,5.81220989
393,2022-06-14 15:21:00,22400.0,22435.18444086,22453.0,22396.33584411,8.79104234
392,2022-06-14 15:22:00,22443.0,22492.0,22497.26353783,22430.7374271,5.52965261
391,2022-06-14 15:23:00,22499.66657815,22478.03921522,22520.0,22478.03921522,4.6276956
390,2022-06-14 15:24:00,22477.0,22532.0,22543.0,22474.43465473,6.64689421
389,2022-06-14 15:25:00,22526.0,22492.64111003,22545.32434436,22490.62990593,11.33096925
388,2022-06-14 15:26:00,22487.02371193,22522.0,22531.50010458,22484.0,2.8123659500000002
387,2022-06-14 15:27:00,22518.67184921,22503.85261726,22522.0,22503.85261726,8.60620037
386,2022-06-14 15:28:00,22498.76634386,22431.0,22499.0,22431.0,5.43627683
385,2022-06-14 15:29:00,22431.0,22465.38318356,22466.0,22423.9199586,3.63724949
384,2022-06-14 15:30:00,22467.60872758,22422.11221995,22467.60872758,22407.26028553,5.48998431
383,2022-06-14 15:31:00,22417.0,22340.0,22430.0,22340.0,9.32424904
382,2022-06-14 15:32:00,22349.0,22308.0,22351.0,22250.24726165,10.04654634
381,2022-06-14 15:33:00,22307.0,22345.0,22345.0,22296.88995141,1.20294053
380,2022-06-14 15:34:00,22348.78627531,22407.26028553,22446.0,22348.78627531,4.77315952
